The current server timezone is: Europe/Berlin, file created at: 01/04/2019 11:13:35 am
No. of visitors
128
----IP hash, ID, Start-time, %CPU, Memory(total, used, free, shared,buffers,cached), MPD-Status, MPD-End-time, End-time----
#1:837ec5754f503cfaaee0929fd48974e7, #2:id2695679107, #3:01/04/2019 01:58:00 pm, #4:0.16, #5:7863868,4267236,213380,246576,3383252,2949396, #6:200 OK, #7:01/04/2019 01:58:01 pm, #8:01/04/2019 01:58:09 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id929594846, #3:01/04/2019 02:08:05 pm, #4:0.05, #5:7863868,4221784,233516,250956,3408568,2989520, #6:uploaded, #7:01/04/2019 02:08:07 pm, #8:01/04/2019 02:08:07 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id647216035, #3:01/04/2019 02:08:27 pm, #4:0.24, #5:7863868,4229536,223760,251916,3410572,2980916, #6:uploaded, #7:01/04/2019 02:08:28 pm, #8:01/04/2019 02:08:28 pm
#1:837ec5754f503cfaaee0929fd48974e7, #2:id9288902501, #3:01/07/2019 10:09:41 am, #4:0.2, #5:7863868,2672336,2008900,50356,3182632,4753120, #6:200 OK, #7:01/07/2019 10:09:42 am, #8:01/07/2019 10:09:42 am
#1:837ec5754f503cfaaee0929fd48974e7, #2:id2495815940, #3:01/07/2019 10:15:11 am, #4:0.05, #5:7863868,2674936,2004896,51420,3184036,4749696, #6:200 OK, #7:01/07/2019 10:15:12 am, #8:01/07/2019 10:15:12 am
#1:837ec5754f503cfaaee0929fd48974e7, #2:id3794758264, #3:01/07/2019 10:32:41 am, #4:0.23, #5:7863868,2702548,1967892,51452,3193428,4722060, #6:200 OK, #7:01/07/2019 10:32:42 am, #8:01/07/2019 10:33:23 am
#1:837ec5754f503cfaaee0929fd48974e7, #2:id8176248368, #3:01/07/2019 10:35:15 am, #4:0.68, #5:7863868,2760856,1900900,52432,3202112,4662104, #6:200 OK, #7:01/07/2019 10:35:23 am, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id1369033099, #3:01/07/2019 11:01:17 am, #4:0, #5:7863868,2804924,1838132,52484,3220812,4617304, #6:200 OK, #7:01/07/2019 11:01:18 am, #8:01/07/2019 11:01:54 am
#1:837ec5754f503cfaaee0929fd48974e7, #2:id6613178392, #3:01/07/2019 11:03:41 am, #4:0.74, #5:7863868,2895552,1736208,54820,3232108,4523156, #6:200 OK, #7:01/07/2019 11:03:44 am, #8:01/07/2019 11:04:15 am
#1:837ec5754f503cfaaee0929fd48974e7, #2:id8802357390, #3:01/07/2019 11:05:42 am, #4:0.81, #5:7863868,2938056,1681692,58640,3244120,4476180, #6:200 OK, #7:01/07/2019 11:05:46 am, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id7527004169, #3:01/07/2019 11:20:15 am, #4:0.35, #5:7863868,3003172,1606740,60144,3253956,4408460, #6:200 OK, #7:01/07/2019 11:20:16 am, #8:01/07/2019 11:27:56 am
#1:837ec5754f503cfaaee0929fd48974e7, #2:id9149046119, #3:01/07/2019 11:24:46 am, #4:2.68, #5:7863868,2610372,1752064,55400,3501432,4807984, #6:200 OK, #7:01/07/2019 11:24:47 am, #8:01/07/2019 11:56:35 am
#1:837ec5754f503cfaaee0929fd48974e7, #2:id7734989942, #3:01/14/2019 01:12:05 pm, #4:0.44, #5:7863868,2709884,1294016,93864,3859968,4660064, #6:200 OK, #7:01/14/2019 01:12:19 pm, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id6797600874, #3:01/15/2019 11:23:30 am, #4:0.29, #5:7863868,3325824,543188,93456,3994856,4043964, #6:200 OK, #7:01/15/2019 11:23:31 am, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id7652886884, #3:01/15/2019 11:23:44 am, #4:0.41, #5:7863868,3400788,459196,95008,4003884,3967216, #6:200 OK, #7:01/15/2019 11:23:45 am, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id8419749925, #3:01/18/2019 02:16:21 pm, #4:0.41, #5:7863868,2953940,1463316,87300,3446612,4423192, #6:200 OK, #7:01/18/2019 02:16:23 pm, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id6261272492, #3:01/21/2019 01:13:02 pm, #4:0.13, #5:7863868,3725604,203276,166024,3934988,3570920, #6:200 OK, #7:01/21/2019 01:13:03 pm, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id8678530250, #3:01/21/2019 01:18:05 pm, #4:0.5, #5:7863868,3869644,132392,168424,3861832,3423260, #6:200 OK, #7:01/21/2019 01:18:06 pm, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id8103448009, #3:01/22/2019 01:44:25 pm, #4:0.28, #5:7863868,4022100,675740,236456,3166028,3201992, #6:200 OK, #7:01/22/2019 01:44:41 pm, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id2649558869, #3:01/24/2019 01:08:46 pm, #4:0.21, #5:7863868,6702116,229088,86744,932664,671972, #6:200 OK, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id919690402, #3:01/24/2019 01:08:54 pm, #4:0.49, #5:7863868,6748456,169732,87784,945680,624828, #6:, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id7321210776, #3:01/24/2019 01:25:38 pm, #4:0.85, #5:7863868,6582804,285068,105020,995996,771216, #6:200 OK, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id5619231165, #3:01/24/2019 01:36:08 pm, #4:0.3, #5:7863868,5749992,1081564,81712,1032312,1629380, #6:200 OK, 
#1:837ec5754f503cfaaee0929fd48974e7, #2:id5806753154, #3:01/24/2019 01:39:31 pm, #4:1.63, #5:7863868,5769816,926272,71460,1167780,1619876, #6:200 OK, 
